question_idx,question,expected_chunk_ids,retrieved_top10_ids,rrf_scores,semantic_ranks,bm25_ranks
0,"""Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar""ın təsdiq edilməsi barədə Qərar hansı tarixdə qəbul edilib və qüvvəyə minmə tarixi nədir?",“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_intro_1,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_intro_1|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_1_2|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_6_7|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_7_14_part1|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_5_6|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_7_14_part2|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin nizamnamə kapitalının minimum miqdarı və onun formalaşdırılması haqqında Qaydalar”ın təsdiq edilməsi barədə_intro_1|“İnvestisiya qiymətli kağızlarının qiymətinin sabitləşdirilməsi haqqında Qaydalar”ın təsdiq edilməsi barədə_intro_1|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_intro_1|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_1_8,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_intro_1:0.032522|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_1_2:0.032002|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_6_7:0.031498|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_7_14_part1:0.030769|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_5_6:0.029911|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_7_14_part2:0.029907|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin nizamnamə kapitalının minimum miqdarı və onun formalaşdırılması haqqında Qaydalar”ın təsdiq edilməsi barədə_intro_1:0.029437|“İnvestisiya qiymətli kağızlarının qiymətinin sabitləşdirilməsi haqqında Qaydalar”ın təsdiq edilməsi barədə_intro_1:0.029418|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_intro_1:0.029418|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_1_8:0.028850,1|2|3|5|4|14|10|7|9|6,2|3|4|5|10|1|6|9|7|13
1,Qərarın Hüquqi Aktların Dövlət Reyestrinə daxil edilməsi üçün Ədliyyə Nazirliyinə təqdim edilməsi neçə gün müddətində və hansı şöbə tərəfindən təmin edilməlidir?,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3,“İnvestisiya qiymətli kağızlarının qiymətinin sabitləşdirilməsi haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3|“Bankların yenidən təşkili haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3|“İpoteka örtüyünün reyestrinin aparılması və sərəncamçı tərəfindən ipoteka örtüyünün yoxlanılmasının nəticələri barədə hesabata dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3|“Kredit ittifaqlarının prudensial tənzimlənməsi Qaydaları”nın təsdiq edilməsi haqqında_art_2_3|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3|“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3|“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_3_4|Azərbaycan Respublikası Prezidentinin Fərmanı_art_2_3|beaf2f3b-d7c9-4377-8d69-d29758699119_art_2_3,“İnvestisiya qiymətli kağızlarının qiymətinin sabitləşdirilməsi haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3:0.031498|“Bankların yenidən təşkili haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3:0.031319|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3:0.031319|“İpoteka örtüyünün reyestrinin aparılması və sərəncamçı tərəfindən ipoteka örtüyünün yoxlanılmasının nəticələri barədə hesabata dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3:0.031281|“Kredit ittifaqlarının prudensial tənzimlənməsi Qaydaları”nın təsdiq edilməsi haqqında_art_2_3:0.031281|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3:0.031258|“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3:0.031010|“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_3_4:0.028992|Azərbaycan Respublikası Prezidentinin Fərmanı_art_2_3:0.028006|beaf2f3b-d7c9-4377-8d69-d29758699119_art_2_3:0.027778,3|7|1|2|6|5|4|10|14|12,4|1|7|6|2|3|5|8|9|12
2,Bu Qərardan irəli gələn məsələlərin həll edilməsi hansı şöbəyə tapşırılıb?,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4,dd1aa268-4de2-48ab-8953-c87d3f1c74e3_art_3_4|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4|“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4|“İnvestisiya qiymətli kağızlarının qiymətinin sabitləşdirilməsi haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4|“İpoteka örtüyünün reyestrinin aparılması və sərəncamçı tərəfindən ipoteka örtüyünün yoxlanılmasının nəticələri barədə hesabata dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4|“Ödəmə qabiliyyətini itirmiş bankların rezolyusiyası və sağlamlaşdırma tədbirləri çərçivəsində qeyri-işlək (toksik) aktivlərin təqdim edilməsi Qaydası”nın təsdiq edilməsi haqqında_art_3_4|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3|“İpoteka örtüyünün reyestrinin aparılması və sərəncamçı tərəfindən ipoteka örtüyünün yoxlanılmasının nəticələri barədə hesabata dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3,dd1aa268-4de2-48ab-8953-c87d3f1c74e3_art_3_4:0.032522|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4:0.032018|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4:0.031754|“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4:0.031746|“İnvestisiya qiymətli kağızlarının qiymətinin sabitləşdirilməsi haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4:0.030536|“İpoteka örtüyünün reyestrinin aparılması və sərəncamçı tərəfindən ipoteka örtüyünün yoxlanılmasının nəticələri barədə hesabata dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4:0.030536|“Ödəmə qabiliyyətini itirmiş bankların rezolyusiyası və sağlamlaşdırma tədbirləri çərçivəsində qeyri-işlək (toksik) aktivlərin təqdim edilməsi Qaydası”nın təsdiq edilməsi haqqında_art_3_4:0.027746|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5:0.025487|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3:0.014925|“İpoteka örtüyünün reyestrinin aparılması və sərəncamçı tərəfindən ipoteka örtüyünün yoxlanılmasının nəticələri barədə hesabata dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3:0.014706,1|4|2|3|6|5|18|17|7|8,2|1|4|3|5|6|7|20||
3,QKDK-nın aparatının və Naxçıvan Muxtar Respublikası üzrə İdarəsinin bu Qərarla tanış olmasını təmin etmək hansı şöbəyə həvalə edilib?,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5,dd1aa268-4de2-48ab-8953-c87d3f1c74e3_art_4_5|“İnvestisiya qiymətli kağızlarının qiymətinin sabitləşdirilməsi haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5|“İpoteka örtüyünün reyestrinin aparılması və sərəncamçı tərəfindən ipoteka örtüyünün yoxlanılmasının nəticələri barədə hesabata dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5|“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin nizamnamə kapitalının minimum miqdarı və onun formalaşdırılması haqqında Qaydalar”ın təsdiq edilməsi barədə_intro_1|“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_162_185|“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4,dd1aa268-4de2-48ab-8953-c87d3f1c74e3_art_4_5:0.031754|“İnvestisiya qiymətli kağızlarının qiymətinin sabitləşdirilməsi haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5:0.031746|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5:0.031545|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5:0.031545|“İpoteka örtüyünün reyestrinin aparılması və sərəncamçı tərəfindən ipoteka örtüyünün yoxlanılmasının nəticələri barədə hesabata dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5:0.031514|“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5:0.031010|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4:0.014925|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin nizamnamə kapitalının minimum miqdarı və onun formalaşdırılması haqqında Qaydalar”ın təsdiq edilməsi barədə_intro_1:0.014925|“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_162_185:0.014706|“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4:0.014706,4|3|1|6|2|5|7|||8,2|3|6|1|5|4||7|8|
4,"""AML Sanksiya Dəyişiklikləri"" adlı Qərar hansı iki qanunun icrası ilə əlaqədar qəbul edilib və bu Qərarla Nazirlər Kabinetinin hansı əvvəlki qərarı ləğv edilir?",AML Sanksiya Dəyişiklikləri_intro_1,AML Sanksiya Dəyişiklikləri_intro_1|AML Sanksiya Dəyişiklikləri_art_4_6|Bank Şöbələri və Valyuta Qaydası_art_2_3|Banklar Haqqında Qanun_ch_X_art_62_102|590-IIQ-Banklar haqqında_ch_X_art_62_107|Bank Hesabları Qaydası_art_3_107_part6|İnformasiya Sistemlərinin Təhlükəsizliyi Qaydaları_ch_il_12_part2|“Azərbaycan Respublikası Mərkəzi Bankının normativ xarakterli aktlarının hazırlanması və qəbul edilməsi Qaydası”nın təsdiq edilməsi barədə_art_2_3|45937180-250a-4b4a-b8e5-153945adb06d_art_2_3|“Azərbaycan Respublikası Mərkəzi Bankının normativ xarakterli aktlarının hazırlanması və qəbul edilməsi Qaydası”nın təsdiq edilməsi barədə_art_4_7,AML Sanksiya Dəyişiklikləri_intro_1:0.032522|AML Sanksiya Dəyişiklikləri_art_4_6:0.029644|Bank Şöbələri və Valyuta Qaydası_art_2_3:0.016393|Banklar Haqqında Qanun_ch_X_art_62_102:0.016129|590-IIQ-Banklar haqqında_ch_X_art_62_107:0.015873|Bank Hesabları Qaydası_art_3_107_part6:0.015873|İnformasiya Sistemlərinin Təhlükəsizliyi Qaydaları_ch_il_12_part2:0.015625|“Azərbaycan Respublikası Mərkəzi Bankının normativ xarakterli aktlarının hazırlanması və qəbul edilməsi Qaydası”nın təsdiq edilməsi barədə_art_2_3:0.015625|45937180-250a-4b4a-b8e5-153945adb06d_art_2_3:0.015385|“Azərbaycan Respublikası Mərkəzi Bankının normativ xarakterli aktlarının hazırlanması və qəbul edilməsi Qaydası”nın təsdiq edilməsi barədə_art_4_7:0.015385,2|9|1|||3|4||5|,1|6||2|3|||4||5
5,Nazirlər Kabinetinin 2015-ci il 21 oktyabr tarixli 336 nömrəli Qərarı ilə təsdiq edilmiş Qaydanın 3.1.4-cü yarımbəndində hansı dəyişiklik edilib?,AML Sanksiya Dəyişiklikləri_art_1_2,AML Sanksiya Dəyişiklikləri_art_1_2|AML Sanksiya Dəyişiklikləri_art_2_3|f15fd85d-3c4e-4d87-aa78-8367ca166daf_art_7_13_part1|Azərbaycan Respublikasının 1999-cu il 22 iyun tarixli 689-IQ nömrəli Qanunu ilə təsdiq edilmiş «Ədalət mühakiməsinin rəsmi embleminin təsviri»ndə dəyişiklik edilməsi barədə_intro_1|d6a9834a-d9f7-49f3-abff-14cd901c615d_art_6_12_part3|AML Sanksiya Dəyişiklikləri_intro_1|Bank Hesabları Qaydası_art_3_107_part1|f15fd85d-3c4e-4d87-aa78-8367ca166daf_art_7_13_part3|“Azərbaycan Respublikası Mərkəzi Bankının normativ xarakterli aktlarının hazırlanması və qəbul edilməsi Qaydası”nın təsdiq edilməsi barədə_art_4_7|Bank Hesabları Qaydası_art_3_107_part2,AML Sanksiya Dəyişiklikləri_art_1_2:0.032787|AML Sanksiya Dəyişiklikləri_art_2_3:0.032258|f15fd85d-3c4e-4d87-aa78-8367ca166daf_art_7_13_part1:0.027206|Azərbaycan Respublikasının 1999-cu il 22 iyun tarixli 689-IQ nömrəli Qanunu ilə təsdiq edilmiş «Ədalət mühakiməsinin rəsmi embleminin təsviri»ndə dəyişiklik edilməsi barədə_intro_1:0.015873|d6a9834a-d9f7-49f3-abff-14cd901c615d_art_6_12_part3:0.015873|AML Sanksiya Dəyişiklikləri_intro_1:0.015625|Bank Hesabları Qaydası_art_3_107_part1:0.015625|f15fd85d-3c4e-4d87-aa78-8367ca166daf_art_7_13_part3:0.015385|“Azərbaycan Respublikası Mərkəzi Bankının normativ xarakterli aktlarının hazırlanması və qəbul edilməsi Qaydası”nın təsdiq edilməsi barədə_art_4_7:0.015385|Bank Hesabları Qaydası_art_3_107_part2:0.015152,1|2|20||3||4|5||6,1|2|8|3||4|||5|
6,337 nömrəli Qərarla təsdiq edilmiş Qaydanın 3.1.5-ci yarımbəndinə hansı dəyişikliklər edilib?,AML Sanksiya Dəyişiklikləri_art_2_3,AML Sanksiya Dəyişiklikləri_art_2_3|AML Sanksiya Dəyişiklikləri_art_1_2|beaf2f3b-d7c9-4377-8d69-d29758699119_art_4_7|4a6fbf3ba5bf66fda98b121c7_art_8_18_part3|AML Sanksiya Dəyişiklikləri_art_3_4_part2|1dfb892e-6204-4404-9166-c861f06996fa_art_5_9_part1|d6a9834a-d9f7-49f3-abff-14cd901c615d_art_6_12_part3|4a6fbf3ba5bf66fda98b121c7_art_2_3|4a6fbf3ba5bf66fda98b121c7_art_3_35_part9|Bank Hesabları Qaydası_art_3_107_part6,AML Sanksiya Dəyişiklikləri_art_2_3:0.032787|AML Sanksiya Dəyişiklikləri_art_1_2:0.016129|beaf2f3b-d7c9-4377-8d69-d29758699119_art_4_7:0.016129|4a6fbf3ba5bf66fda98b121c7_art_8_18_part3:0.015873|AML Sanksiya Dəyişiklikləri_art_3_4_part2:0.015873|1dfb892e-6204-4404-9166-c861f06996fa_art_5_9_part1:0.015625|d6a9834a-d9f7-49f3-abff-14cd901c615d_art_6_12_part3:0.015625|4a6fbf3ba5bf66fda98b121c7_art_2_3:0.015385|4a6fbf3ba5bf66fda98b121c7_art_3_35_part9:0.015385|Bank Hesabları Qaydası_art_3_107_part6:0.015152,1|2|||3||4||5|6,1||2|3||4||5||
7,"""Kommersiya hüquqi şəxslərin təsisçiləri (iştirakçıları)... barədə məlumatların verilməsi Qaydası""nda ""monitorinq iştirakçıları və monitorinqdə iştirak edən digər şəxslər"" termini nə ilə əvəz edilib və maliyyə institutları ilə qeyri-maliyyə institutları hansı meyarlarla fərqləndirilir?",AML Sanksiya Dəyişiklikləri_art_3_4_part1|AML Sanksiya Dəyişiklikləri_art_3_4_part2,AML Sanksiya Dəyişiklikləri_art_3_4_part1|AML Sanksiya Dəyişiklikləri_art_3_4_part2|Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_art_14_22_part2|Məcəllə_art_14_22_part2|Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_art_14_22_part1|ad29955c-5a37-413c-937e-cd1e5988ae62_art_2_6|Məcəllə_art_14_22_part1|Banklar Haqqında Qanun_ch_XI_art_4_185_part2|Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_art_3_7|Məcəllə_art_3_7,AML Sanksiya Dəyişiklikləri_art_3_4_part1:0.032787|AML Sanksiya Dəyişiklikləri_art_3_4_part2:0.032258|Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_art_14_22_part2:0.031010|Məcəllə_art_14_22_part2:0.030536|Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_art_14_22_part1:0.028814|ad29955c-5a37-413c-937e-cd1e5988ae62_art_2_6:0.028814|Məcəllə_art_14_22_part1:0.028405|Banklar Haqqında Qanun_ch_XI_art_4_185_part2:0.015873|Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_art_3_7:0.015873|Məcəllə_art_3_7:0.015625,1|2|4|5|12|7|13|3||,1|2|5|6|7|12|8||3|4
8,"""AML Sanksiya Dəyişiklikləri"" Qərarı hansı tarixdə və hansı nömrə ilə qəbul edilib, kim tərəfindən imzalanıb və hansı köhnə qərar bu sənədin 4-cü bəndi ilə ləğv edilir?",AML Sanksiya Dəyişiklikləri_art_4_6,402 _Azərbaycan Respublikasının Milli Bankı haqqında_ Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə_art_4_5_part1|Banklar Haqqında Qanun_ch_X_art_62_102|590-IIQ-Banklar haqqında_ch_X_art_62_107|d6a9834a-d9f7-49f3-abff-14cd901c615d_art_6_12_part3|Banklar Haqqında Qanun_ch_VIII_art_57_91_part3|İnformasiya Sistemlərinin Təhlükəsizliyi Qaydaları_ch_il_12_part2|590-IIQ-Banklar haqqında_ch_VIII_art_57_96_part3|Bank Hesabları Qaydası_art_8_113_part3|Banklarda əməliyyat risklərinin idarə edilməsi Qaydası_art_6_12_part2|Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_art_6_13,402 _Azərbaycan Respublikasının Milli Bankı haqqında_ Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə_art_4_5_part1:0.016393|Banklar Haqqında Qanun_ch_X_art_62_102:0.016393|590-IIQ-Banklar haqqında_ch_X_art_62_107:0.016129|d6a9834a-d9f7-49f3-abff-14cd901c615d_art_6_12_part3:0.016129|Banklar Haqqında Qanun_ch_VIII_art_57_91_part3:0.015873|İnformasiya Sistemlərinin Təhlükəsizliyi Qaydaları_ch_il_12_part2:0.015873|590-IIQ-Banklar haqqında_ch_VIII_art_57_96_part3:0.015625|Bank Hesabları Qaydası_art_8_113_part3:0.015625|Banklarda əməliyyat risklərinin idarə edilməsi Qaydası_art_6_12_part2:0.015385|Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_art_6_13:0.015385,1|||2||3||4|5|,|1|2||3||4|||5
9,"""Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında"" Qanun hansı Konstitusiya maddəsinə əsaslanaraq qəbul edilib və hansı münasibətləri tənzimləyir?",Məcəllə_intro_1,Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_intro_1|Məcəllə_intro_1|AZƏRBAYCAN RESPUBLİKASININ QANUNU_ch_IV_art_18_86|802-IIQ-Azərbaycan Respublikasının Mərkəzi Bankı haqqında_ch_IX_art_48_62|590-IIQ-Banklar haqqında_ch_IV_art_42_62|AML Sanksiya Dəyişiklikləri_intro_1|Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_art_2_6|Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_art_20_29|Banklar Haqqında Qanun_ch_IV_art_42_62|Məcəllə_art_2_6,Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_intro_1:0.032787|Məcəllə_intro_1:0.032258|AZƏRBAYCAN RESPUBLİKASININ QANUNU_ch_IV_art_18_86:0.031250|802-IIQ-Azərbaycan Respublikasının Mərkəzi Bankı haqqında_ch_IX_art_48_62:0.030159|590-IIQ-Banklar haqqında_ch_IV_art_42_62:0.028577|AML Sanksiya Dəyişiklikləri_intro_1:0.028259|Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_art_2_6:0.028043|Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_art_20_29:0.027972|Banklar Haqqında Qanun_ch_IV_art_42_62:0.027778|Məcəllə_art_2_6:0.027652,1|2|4|10|9|7|5|18|12|6,1|2|4|3|11|15|19|6|12|20
