Question ID,Category,Question,Ground Truth,Generated Answer,Retrieved Chunk IDs,Retrieved Documents,Retrieval Time,Prompt Time,Generation Time,Total Time,Error
Q001,laws,Kredit təşkilatı nədir?,"Kredit təşkilatı bank, xarici bankın yerli filialı və ya bank olmayan kredit təşkilatıdır.","Kredit təşkilatı, nizamnamə kapitalında dövlətə məxsus səhmlər olan banklarda və bank olmayan kredit təşkilatlarında (bundan sonra kredit təşkilatı) həmin səhmlərin imkan verdiyi dərəcədə ümumi yığıncağın səlahiyyətlərinə aid edilmiş məsələlərin həll edilməsində dövlətin adından iştirak etmə hüququnun mövcud olduğu qurumdur.

---
*Self-Correction/Refinement based on context review:* The provided answer in the prompt is a combination of definitions from Document 1, but it does not fully capture all possible meanings or contexts for ""Kredit təşkilatı"" as presented across the documents (e.g., BOKT definition). I must provide an answer strictly based on what defines it.

*Re-evaluation:*
Document 1 defines a specific context: ""banklarda və bank olmayan kredit təşkilatlarında (bundan sonra kredit təşkilatı)"".
Document 4 defines ""Bank olmayan kredit təşkilatı (bundan sonra – BOKT)"" as: ""xüsusi razılıq (lisenziya) əsasında kreditlərin verilməsi və bu Qanunla nəzərdə tutulmuş digər fəaliyyət növlərini həyata keçirən ixtisaslaşmış kredit təşkilatı"".
Document 5 defines ""Kredit ittifaqı"" as: ""mənafe ümumiliyi əsasında könüllü birləşən fiziki şəxslərin və (və ya) kiçik sahibkarlıq subyekti olan hüquqi şəxslərin sərbəst pul vəsaitlərini cəmləşdirmək yolu ilə özlərinin qarşılıqlı kreditləşdirilməsi üçün yaratdıqları bank olmayan kredit təşkilatıdır.""

Since the question is general (""Kredit təşkilatı nədir?""), I must provide the definitions available. However, if I combine them all, it violates the instruction to be direct and select only necessary parts. The most comprehensive definition provided in a single context block (Document 1) relates to state participation rights, while Document 4 provides a specific legal definition for BOKT.

Given the structure of the prompt's example answer, I will prioritize the definition found in Document 1 as it uses the term ""kredit təşkilatı"" broadly within its scope, but I must ensure my final output is clean and directly answers based on the context provided to me *as* the assistant.

I will use the definitions available for different types of credit organizations mentioned. Since no single definition covers all possibilities under one heading, I must present the distinct definitions found. However, following the strict instruction format (providing a direct and complete answer), I will synthesize based on the most explicit definitions provided in the context documents.

*Final decision:* Presenting the specific definitions for BOKT and Kredit İttifaqı as they are explicitly defined entities within the context. If the user meant the general concept covered by Document 1, that definition is highly conditional (related to state ownership). I will provide the explicit legal definitions.<channel|>Bank olmayan kredit təşkilatı (BOKT) xüsusi razılıq (lisenziya) əsasında kreditlərin verilməsi və bu Qanunla nəzərdə tutulmuş digər fəaliyyət növlərini həyata keçirən ixtisaslaşmış kredit təşkilatıdır.

Kredit ittifaqı isə mənafe ümumiliyi əsasında könüllü birləşən fiziki şəxslərin və (və ya) kiçik sahibkarlıq subyekti olan hüquqi şəxslərin sərbəst pul vəsaitlərini cəmləşdirmək yolu ilə özlərinin qarşılıqlı kreditləşdirilməsi üçün yaratdıqları bank olmayan kredit təşkilatıdır.

Kredit təşkilatı, nizamnamə kapitalında dövlətə məxsus səhmlər olan banklarda və bank olmayan kredit təşkilatlarında həmin səhmlərin imkan verdiyi dərəcədə ümumi yığıncağın səlahiyyətlərinə aid edilmiş məsələlərin həll edilməsində dövlətin adından iştirak etmə hüququnun mövcud olduğu qurumdur.","[""Nizamnamə kapitalında dövlətə məxsus səhmlər olan bankların və bank olmayan kredit təşkilatlarının idarə edilməsində dövlətin iştirakı qaydası haqqında_art_1_2"", ""Banklar Haqqında Qanun_ch_I_art_2_6"", ""5b725bb224d33e2085294c793_art_3_12"", ""933-IIIQ-Bank olmayan kredit təşkilatları haqqında_ch_I_art_1_3"", ""AZƏRBAYCAN RESPUBLİKASININ QANUNU_ch_I_art_1_4""]","[""Nizamnamə kapitalında dövlətə məxsus səhmlər olan bankların və bank olmayan kredit təşkilatlarının idarə edilməsində dövlətin iştirakı qaydası haqqında"", ""Banklar Haqqında Qanun"", ""5b725bb224d33e2085294c793"", ""933-IIIQ-Bank olmayan kredit təşkilatları haqqında"", ""AZƏRBAYCAN RESPUBLİKASININ QANUNU""]",13.183571832996677,0.01001366600394249,69.99861116599641,83.41842249999172,
Q002,laws,"""Məqbul və lazımi keyfiyyətlərə malik şəxs"" dedikdə nə başa düşülür?","Məqbul və lazımi keyfiyyətlərə malik şəxs vətəndaş qüsursuzluğuna malik olan, ictimai mövqeyinə görə vicdanlı və etimada layiq sayılan, peşəkar keyfiyyətləri, təcrübəsi və işgüzar nüfuzu ona bankın mühüm iştirak payının sahibi, inzibatçısı, benefisiar mülkiyyətçisi, müvəqqəti inzibatçısı və ya ləğvedicisi olmaq imkanı verən fiziki şəxsdir.","""Məqbul və lazımi keyfiyyətlərə malik şəxs"" dedikdə, vətəndaş qüsursuzluğuna malik olan, habelə ictimai mövqeyinə görə vicdanlı və etimada layiq sayılan və peşəkar keyfiyyətləri, təcrübəsi, işgüzar nüfuzu ona bankın mühüm iştirak payının sahibi, inzibatçısı, benefisiar mülkiyyətçisi, müvəqqəti inzibatçısı və ləğvedicisi olmaq imkanı verən fiziki şəxsdir.","[""Banklar Haqqında Qanun_ch_I_art_1_3_part2"", ""590-IIQ-Banklar haqqında_ch_I_art_1_3_part2"", ""Banklar Haqqında Qanun_ch_III_art_22_35_part2"", ""590-IIQ-Banklar haqqında_ch_III_art_22_35_part2"", ""590-IIQ-Banklar haqqında_ch_III_art_22_35_part3""]","[""Banklar Haqqında Qanun"", ""590-IIQ-Banklar haqqında"", ""Banklar Haqqında Qanun"", ""590-IIQ-Banklar haqqında"", ""590-IIQ-Banklar haqqında""]",16.833756208012346,0.00785175000783056,37.74927066700184,54.73388029099442,
Q003,laws,Bank sirrini təşkil edən məlumatların qeyri-qanuni açıqlanmasına görə hansı məsuliyyət növləri nəzərdə tutulur?,"Bank sirrini təşkil edən məlumatların qeyri-qanuni açıqlanmasına görə mülki, inzibati və cinayət məsuliyyəti nəzərdə tutulur.","Azərbaycan Respublikasının müvafiq qanunvericiliyi ilə müəyyən edilmiş qaydada mülki, inzibati və cinayət məsuliyyəti daşıyırlar.","[""Banklar Haqqında Qanun_ch_XI_art_38_175_part6"", ""590-IIQ-Banklar haqqında_ch_X_art_38_181_part6"", ""Banklar Haqqında Qanun_ch_XI_art_38_175_part5"", ""Banklar Haqqında Qanun_ch_IV_art_41_60_part2"", ""590-IIQ-Banklar haqqında_ch_IV_art_41_60_part2""]","[""Banklar Haqqında Qanun"", ""590-IIQ-Banklar haqqında"", ""Banklar Haqqında Qanun"", ""Banklar Haqqında Qanun"", ""590-IIQ-Banklar haqqında""]",16.11012275000394,0.008307458003400825,24.60893975000363,40.875056457996834,
Q004,laws,Azərbaycan Respublikasının Bank Məcəlləsinin layihəsinin hazırlanmasının əsas məqsədləri hansılardır?,"Bank Məcəlləsinin layihəsinin hazırlanmasının məqsədləri bank sisteminin fəaliyyətinin iqtisadiyyatın sabit inkişafı ilə uzlaşdırılması, dayanıqlı və etibarlı bank sisteminin formalaşdırılması, bank sektorunun inkişafı üçün əlverişli mühitin yaradılması, sağlam rəqabət mühitinin bərqərar olması, bank fəaliyyətində şəffaflığın təmin edilməsi və bank-kredit sisteminin yeni tələblərə uyğun qurulmasıdır.",---,"[""_Banklar haqqında_ Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə_art_2_3"", ""Banklar Haqqında Qanun_intro_1"", ""Banklarda korporativ idarəetmə Standartları_art_1_6"", ""Banklarda əməliyyat risklərinin idarə edilməsi Qaydası_art_1_5"", ""590-IIQ-Banklar haqqında_intro_1""]","[""_Banklar haqqında_ Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə"", ""Banklar Haqqında Qanun"", ""Banklarda korporativ idarəetmə Standartları"", ""Banklarda əməliyyat risklərinin idarə edilməsi Qaydası"", ""590-IIQ-Banklar haqqında""]",17.036630749993492,0.016910874997847714,6.456474334001541,23.72799754200969,
Q005,laws,"""Milli Bank"" ifadəsi hansı fərmanla ""Mərkəzi Bank"" ifadəsi ilə əvəz edilmişdir?","""Milli Bank"" ifadəsi 10 fevral 2010-cu il tarixli 216 nömrəli Azərbaycan Respublikası Prezidentinin Fərmanı ilə ""Mərkəzi Bank"" ifadəsi ilə əvəz edilmişdir.","10 fevral 2010-cu il tarixli 216 nömrəli Azərbaycan Respublikasının Prezidentinin Fərmanı (“Azərbaycan” qəzeti 11 fevral 2010-cu il, № 32, Azərbaycan Respublikasının Qanunvericilik Toplusu, 2010-cu il, № 2, maddə 80) ilə mətnində ismin müvafiq hallarında ""Milli Bank"" sözləri ismin müvafiq hallarında ""Mərkəzi Bank"" sözləri ilə əvəz edilmişdir.","[""402 _Azərbaycan Respublikasının Milli Bankı haqqında_ Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə_art_4_5_part1"", ""_Banklar haqqında_ Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə_art_4_5_part2"", ""_Banklar haqqında_ Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə_art_4_5_part3"", ""Əmanətlərin sığortalanması haqqında_ch_IV_art_2_39_part2"", ""Valyuta tənzimi haqqında_art_2_142""]","[""402 _Azərbaycan Respublikasının Milli Bankı haqqında_ Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə"", ""_Banklar haqqında_ Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə"", ""_Banklar haqqında_ Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə"", ""Əmanətlərin sığortalanması haqqında"", ""Valyuta tənzimi haqqında""]",25.608030624993262,0.023818667003070004,61.33817829200416,87.27768270799424,
Q006,laws,Xarici bankın nümayəndəliyinin açılması üçün təqdim edilmiş müraciətə Mərkəzi Bank ən gec neçə təqvim günü ərzində baxmalıdır?,Mərkəzi Bank xarici bankın nümayəndəliyinin açılmasına icazə üçün təqdim edilmiş müraciətə bildirişin göndərildiyi gündən etibarən ən geci 60 təqvim günü müddətində baxmalı və müvafiq qərar qəbul etməlidir.,ən geci 60 təqvim günü müddətində Mərkəzi Bank bu Qanuna müvafiq olaraq müraciətə baxır və müvafiq qərar qəbul edir.,"[""590-IIQ-Banklar haqqında_ch_II_art_12_22"", ""Banklar Haqqında Qanun_ch_II_art_12_22"", ""Banklar Haqqında Qanun_ch_II_art_11_20_part2"", ""590-IIQ-Banklar haqqında_ch_II_art_11_20_part2"", ""Banklar Haqqında Qanun_ch_II_art_8_13_part2""]","[""590-IIQ-Banklar haqqında"", ""Banklar Haqqında Qanun"", ""Banklar Haqqında Qanun"", ""590-IIQ-Banklar haqqında"", ""Banklar Haqqında Qanun""]",26.290124542007106,0.007321541997953318,38.77576879199478,65.28162120800698,
Q007,laws,Xarici bankın nümayəndəliyi dövlət qeydiyyatına alındıqdan sonra icazənin verilməsi üçün hansı sənədlər təqdim edilməlidir?,Dövlət qeydiyyatı haqqında sənədin surəti və ilkin təqdim edilmiş məlumatlarda əhəmiyyətli dəyişikliklərin olmadığı barədə yazılı bəyanat təqdim edildikdən sonra Mərkəzi Bank icazə verir.,---,"[""590-IIQ-Banklar haqqında_ch_II_art_12_22"", ""Banklar Haqqında Qanun_ch_II_art_12_22"", ""590-IIQ-Banklar haqqında_ch_II_art_9_17"", ""Banklar Haqqında Qanun_ch_II_art_13_23"", ""590-IIQ-Banklar haqqında_ch_II_art_13_23""]","[""590-IIQ-Banklar haqqında"", ""Banklar Haqqında Qanun"", ""590-IIQ-Banklar haqqında"", ""Banklar Haqqında Qanun"", ""590-IIQ-Banklar haqqında""]",27.599770667002304,0.01104374999704305,23.76980912500585,51.535336458997335,
Q008,laws,Xarici bankın yerli nümayəndəliyinə verilən icazədə hansı məlumatlar göstərilməlidir?,İcazədə nümayəndəliyin həyata keçirə biləcəyi işlərin xarakteri və icazəyə daxil edilən bütün məhdudiyyətlərin siyahısı göstərilməlidir. Müraciətin rədd edilməsi və ya məhdudiyyətlərin tətbiqi barədə qərarda isə səbəblər göstərilməlidir.,"Xarici bankın yerli nümayəndəliyinə verilən icazədə nümayəndəliyin həyata keçirə biləcəyi işlərin xarakteri, habelə icazəyə daxil edilən bütün məhdudiyyətlərin siyahısı göstərilməlidir.","[""590-IIQ-Banklar haqqında_ch_II_art_12_22"", ""Banklar Haqqında Qanun_ch_II_art_12_22"", ""Banklar Haqqında Qanun_ch_II_art_13_23"", ""590-IIQ-Banklar haqqında_ch_II_art_13_23"", ""Banklar Haqqında Qanun_ch_II_art_11_20_part1""]","[""590-IIQ-Banklar haqqında"", ""Banklar Haqqında Qanun"", ""Banklar Haqqında Qanun"", ""590-IIQ-Banklar haqqında"", ""Banklar Haqqında Qanun""]",20.612099042002228,0.00628479199076537,33.226291500002844,53.93937837499834,
Q009,laws,Xarici bankın yerli filialına lisenziya və ya nümayəndəlik açılmasına icazə hansı şərtlər yerinə yetirildikdən sonra verilir?,Lisenziya və ya icazə yalnız Mərkəzi Bank ilə xarici səlahiyyətli nəzarət orqanı arasında məsləhətləşmələr keçirildikdən və həmin orqan tərəfindən banka və ya bank holdinq şirkətinə konsolidasiya edilmiş əsasda lazımi nəzarətin həyata keçirilməsi müəyyən edildikdən sonra verilir.,There is not enough information available in the provided documents.,"[""Banklar Haqqında Qanun_ch_II_art_13_23"", ""590-IIQ-Banklar haqqında_ch_II_art_13_23"", ""590-IIQ-Banklar haqqında_ch_II_art_14_24_part1"", ""Banklar Haqqında Qanun_ch_II_art_14_24_part2"", ""Banklar Haqqında Qanun_ch_II_art_14_24_part1""]","[""Banklar Haqqında Qanun"", ""590-IIQ-Banklar haqqında"", ""590-IIQ-Banklar haqqında"", ""Banklar Haqqında Qanun"", ""Banklar Haqqında Qanun""]",32.469183708002674,0.010279499998432584,44.050625249990844,76.66466125000443,
Q010,laws,"Xarici bankın törəmə bankı, filialı və ya nümayəndəliyi üçün müraciətə əlavə olaraq hansı sənədlər təqdim edilməlidir?","Müraciətə təsisçi xarici bankın yerləşdiyi ölkənin bank nəzarəti orqanının bankın fəaliyyətinə və nəzarətinə dair yazılı bildirişi, habelə törəmə bankın təsis edilməsinə və ya filialın və ya nümayəndəliyin açılmasına verilmiş yazılı icazə əlavə edilməlidir.","Xarici bankın törəmə bankı, filialı və ya nümayəndəliyi üçün müraciətə əlavə edilməli olan sənədlər aşağıdakılardır:

* **Təsdiq edilmiş surət:** Təsisçi xarici bankın yerləşdiyi ölkənin bank tənzimləməsi və nəzarəti orqanının bankın həmin ölkədə fiziki və hüquqi şəxslərdən depozitlər və digər qaytarılan vəsait cəlb etmək üçün icazəsinin olması, habelə həmin tənzimləmə və nəzarət orqanının banka nəzarəti həyata keçirməsi barədə yazılı bildirişi və bu orqanın törəmə bankın təsis edilməsinə və ya filialın, nümayəndəliyin açılmasına yazılı icazəsi.

Bu məlumatlar Document 1 və Document 2-də mövcuddur.","[""590-IIQ-Banklar haqqında_ch_II_art_13_23"", ""Banklar Haqqında Qanun_ch_II_art_13_23"", ""Banklar Haqqında Qanun_ch_II_art_12_22"", ""590-IIQ-Banklar haqqında_ch_II_art_12_22"", ""590-IIQ-Banklar haqqında_ch_II_art_11_20_part1""]","[""590-IIQ-Banklar haqqında"", ""Banklar Haqqında Qanun"", ""Banklar Haqqında Qanun"", ""590-IIQ-Banklar haqqında"", ""590-IIQ-Banklar haqqında""]",32.78191970799526,0.010643625006196089,71.90566679199401,104.8375249170058,
