question,expected_chunk_ids,expected_document_ids,retrieved_top10,rank_of_first_relevant,recall@1,recall@3,recall@5,recall@10,mrr,hit@1,hit@3,hit@5,hit@10
"""Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar""ın təsdiq edilməsi barədə Qərar hansı tarixdə qəbul edilib və qüvvəyə minmə tarixi nədir?",“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_intro_1,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə,"“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_5_6,“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_5_6,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_1_2,8a4d0220-9312-4ef2-88e8-c65b607a186a_art_3_4,faa09ce5-3d98-48b1-ac48-e81ca3d9d4e7_art_3_4,Azərbaycan Respublikasının Mərkəzi Bankı - Bankların əsas vəsaitlərlə (əmlakla) apardıqları əməliyyatların tənzimlənməsi Qaydaları_art_8_9,«Dövlət qeydiyyatına alınmışdır»_art_9_9,ba0d73daa9275fa1fe1e4694b_art_1_54,_Dövlət qeydiyyatına alınmışdır_art_16_28,Əməliyyat Risklərinin İdarə Edilməsi Qaydası_art_2_3",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Qərarın Hüquqi Aktların Dövlət Reyestrinə daxil edilməsi üçün Ədliyyə Nazirliyinə təqdim edilməsi neçə gün müddətində və hansı şöbə tərəfindən təmin edilməlidir?,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə,"“Bankların yenidən təşkili haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3,“Kredit ittifaqlarının prudensial tənzimlənməsi Qaydaları”nın təsdiq edilməsi haqqında_art_2_3,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3,“İnvestisiya qiymətli kağızlarının qiymətinin sabitləşdirilməsi haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3,“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3,“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3,“İpoteka örtüyünün reyestrinin aparılması və sərəncamçı tərəfindən ipoteka örtüyünün yoxlanılmasının nəticələri barədə hesabata dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_2_3,dd1aa268-4de2-48ab-8953-c87d3f1c74e3_art_2_3,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_252_280",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Bu Qərardan irəli gələn məsələlərin həll edilməsi hansı şöbəyə tapşırılıb?,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə,"“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4,dd1aa268-4de2-48ab-8953-c87d3f1c74e3_art_3_4,“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4,“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4,“İnvestisiya qiymətli kağızlarının qiymətinin sabitləşdirilməsi haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4,“İpoteka örtüyünün reyestrinin aparılması və sərəncamçı tərəfindən ipoteka örtüyünün yoxlanılmasının nəticələri barədə hesabata dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4,“Ödəmə qabiliyyətini itirmiş bankların rezolyusiyası və sağlamlaşdırma tədbirləri çərçivəsində qeyri-işlək (toksik) aktivlərin təqdim edilməsi Qaydası”nın təsdiq edilməsi haqqında_art_3_4,Əməliyyat Risklərinin İdarə Edilməsi Qaydası_art_25_44,Azərbaycan Respublikası Prezidentinin 1999-cu il 14 may tarixli 130 nömrəli Fərmanı ilə təsdiq edilmiş «Azərbaycan Respublikasının fəxri adları haqqında Əsasnamə»də dəyişikliklər edilməsi barədə_art_11_12,AZƏRBAYCAN RESPUBLİKASININ QANUNU_ch_V_art_2_96",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
QKDK-nın aparatının və Naxçıvan Muxtar Respublikası üzrə İdarəsinin bu Qərarla tanış olmasını təmin etmək hansı şöbəyə həvalə edilib?,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə,"“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5,dd1aa268-4de2-48ab-8953-c87d3f1c74e3_art_4_5,“İnvestisiya qiymətli kağızlarının qiymətinin sabitləşdirilməsi haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5,“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5,“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5,“İpoteka örtüyünün reyestrinin aparılması və sərəncamçı tərəfindən ipoteka örtüyünün yoxlanılmasının nəticələri barədə hesabata dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5,“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4,“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4,dd1aa268-4de2-48ab-8953-c87d3f1c74e3_art_3_4,“İpoteka örtüyünün reyestrinin aparılması və sərəncamçı tərəfindən ipoteka örtüyünün yoxlanılmasının nəticələri barədə hesabata dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"""AML Sanksiya Dəyişiklikləri"" adlı Qərar hansı iki qanunun icrası ilə əlaqədar qəbul edilib və bu Qərarla Nazirlər Kabinetinin hansı əvvəlki qərarı ləğv edilir?",AML Sanksiya Dəyişiklikləri_intro_1,AML Sanksiya Dəyişiklikləri,"AZƏRBAYCAN RESPUBLİKASININ QANUNU_ch_V_art_2_96,Əmanətlərin sığortalanması haqqında_ch_II_art_24_28,Valyuta tənzimi haqqında_art_3_120,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_5_6,_Banklar haqqında_ Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə_intro_1,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_249_277,ba0d73daa9275fa1fe1e4694b_art_3_50,“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4,“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Nazirlər Kabinetinin 2015-ci il 21 oktyabr tarixli 336 nömrəli Qərarı ilə təsdiq edilmiş Qaydanın 3.1.4-cü yarımbəndində hansı dəyişiklik edilib?,AML Sanksiya Dəyişiklikləri_art_1_2,AML Sanksiya Dəyişiklikləri,"5b725bb224d33e2085294c793_intro_1,“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_36_289,“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_32_44,“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_5_6,“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_13_156,“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_13_130,“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_30_409,“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_34_287,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_21_36,“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_31_410",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
337 nömrəli Qərarla təsdiq edilmiş Qaydanın 3.1.5-ci yarımbəndinə hansı dəyişikliklər edilib?,AML Sanksiya Dəyişiklikləri_art_2_3,AML Sanksiya Dəyişiklikləri,"“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_50_67,“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_36_289,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_10_24,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_223_251,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_58_75,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_215_242,“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_13_156,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_33_48,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_231_259,“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_63_114",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"""Kommersiya hüquqi şəxslərin təsisçiləri (iştirakçıları)... barədə məlumatların verilməsi Qaydası""nda ""monitorinq iştirakçıları və monitorinqdə iştirak edən digər şəxslər"" termini nə ilə əvəz edilib və maliyyə institutları ilə qeyri-maliyyə institutları hansı meyarlarla fərqləndirilir?",AML Sanksiya Dəyişiklikləri_art_3_4_part1 | AML Sanksiya Dəyişiklikləri_art_3_4_part2,AML Sanksiya Dəyişiklikləri,"“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_115_368,Valyuta tənzimi haqqında_art_2_111,9018b71b0859bc7a490ea0f22_art_11_71,9018b71b0859bc7a490ea0f22_art_2_39,“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_113_366,9018b71b0859bc7a490ea0f22_art_9_69,Əmanətlərin sığortalanması haqqında_ch_III_29,64b6f05f-196b-4894-9374-9e5c1c4df7a2_art_11_54,Bank Hesabları Qaydası_art_11_54,“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_25_231",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"""AML Sanksiya Dəyişiklikləri"" Qərarı hansı tarixdə və hansı nömrə ilə qəbul edilib, kim tərəfindən imzalanıb və hansı köhnə qərar bu sənədin 4-cü bəndi ilə ləğv edilir?",AML Sanksiya Dəyişiklikləri_art_4_6,AML Sanksiya Dəyişiklikləri,"“Dövlət qeydiyyatına alınmışdır”_art_4_5,Əmanətlərin sığortalanması haqqında_ch_II_art_24_28,096312ee-c41c-4c1f-9edd-baf5f3187758_art_4_10,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_249_277,5b725bb224d33e2085294c793_art_5_22,64b6f05f-196b-4894-9374-9e5c1c4df7a2_art_16_84,Bank Hesabları Qaydası_art_16_84,096312ee-c41c-4c1f-9edd-baf5f3187758_art_11_44,5b725bb224d33e2085294c793_intro_1,Bank Hesabları Qaydası_art_14_33",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"""Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında"" Qanun hansı Konstitusiya maddəsinə əsaslanaraq qəbul edilib və hansı münasibətləri tənzimləyir?",Məcəllə_intro_1,Məcəllə,"096312ee-c41c-4c1f-9edd-baf5f3187758_art_9_56,AZƏRBAYCAN RESPUBLİKASININ QANUNU_ch_IV_art_18_86,AZƏRBAYCAN RESPUBLİKASININ QANUNU_intro_1,Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_intro_1,Məcəllə_intro_1,Əmanətlərin sığortalanması haqqında_ch_II_art_24_28,ba0d73daa9275fa1fe1e4694b_art_4_62,096312ee-c41c-4c1f-9edd-baf5f3187758_art_11_44,_Banklar haqqında_ Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə_intro_1,Məcəllə_art_2_6",5,0.0,0.0,1.0,1.0,0.2,0,0,1,1
