question_idx,question,category,difficulty,expected_chunk_ids,expected_document_ids,rank_of_first_relevant,recall@1,recall@3,recall@5,recall@10,precision@1,precision@3,precision@5,precision@10,mrr@10,ndcg@3,ndcg@5,ndcg@10
0,"""Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar""ın təsdiq edilməsi barədə Qərar hansı tarixdə qəbul edilib və qüvvəyə minmə tarixi nədir?",aml_kyc,easy,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_intro_1,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
1,Qərarın Hüquqi Aktların Dövlət Reyestrinə daxil edilməsi üçün Ədliyyə Nazirliyinə təqdim edilməsi neçə gün müddətində və hansı şöbə tərəfindən təmin edilməlidir?,aml_kyc,medium,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə,5,0.0,0.0,1.0,1.0,0.0,0.0,0.2,0.1,0.2,0.0,0.38685280723454163,0.38685280723454163
2,Bu Qərardan irəli gələn məsələlərin həll edilməsi hansı şöbəyə tapşırılıb?,aml_kyc,easy,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə,4,0.0,0.0,1.0,1.0,0.0,0.0,0.2,0.1,0.25,0.0,0.43067655807339306,0.43067655807339306
3,QKDK-nın aparatının və Naxçıvan Muxtar Respublikası üzrə İdarəsinin bu Qərarla tanış olmasını təmin etmək hansı şöbəyə həvalə edilib?,aml_kyc,easy,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.16666666666666666,0.0,0.0,0.3562071871080222
4,"""AML Sanksiya Dəyişiklikləri"" adlı Qərar hansı iki qanunun icrası ilə əlaqədar qəbul edilib və bu Qərarla Nazirlər Kabinetinin hansı əvvəlki qərarı ləğv edilir?",aml_kyc,medium,AML Sanksiya Dəyişiklikləri_intro_1,AML Sanksiya Dəyişiklikləri,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
5,Nazirlər Kabinetinin 2015-ci il 21 oktyabr tarixli 336 nömrəli Qərarı ilə təsdiq edilmiş Qaydanın 3.1.4-cü yarımbəndində hansı dəyişiklik edilib?,aml_kyc,hard,AML Sanksiya Dəyişiklikləri_art_1_2,AML Sanksiya Dəyişiklikləri,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
6,337 nömrəli Qərarla təsdiq edilmiş Qaydanın 3.1.5-ci yarımbəndinə hansı dəyişikliklər edilib?,aml_kyc,hard,AML Sanksiya Dəyişiklikləri_art_2_3,AML Sanksiya Dəyişiklikləri,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
7,"""Kommersiya hüquqi şəxslərin təsisçiləri (iştirakçıları)... barədə məlumatların verilməsi Qaydası""nda ""monitorinq iştirakçıları və monitorinqdə iştirak edən digər şəxslər"" termini nə ilə əvəz edilib və maliyyə institutları ilə qeyri-maliyyə institutları hansı meyarlarla fərqləndirilir?",aml_kyc,hard,AML Sanksiya Dəyişiklikləri_art_3_4_part1|AML Sanksiya Dəyişiklikləri_art_3_4_part2,AML Sanksiya Dəyişiklikləri,1,0.5,1.0,1.0,1.0,1.0,0.6666666666666666,0.4,0.2,1.0,1.0,1.0,1.0
8,"""AML Sanksiya Dəyişiklikləri"" Qərarı hansı tarixdə və hansı nömrə ilə qəbul edilib, kim tərəfindən imzalanıb və hansı köhnə qərar bu sənədin 4-cü bəndi ilə ləğv edilir?",aml_kyc,medium,AML Sanksiya Dəyişiklikləri_art_4_6,AML Sanksiya Dəyişiklikləri,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"""Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında"" Qanun hansı Konstitusiya maddəsinə əsaslanaraq qəbul edilib və hansı münasibətləri tənzimləyir?",aml_kyc,medium,Məcəllə_intro_1,Məcəllə,2,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.2,0.1,0.5,0.6309297535714575,0.6309297535714575,0.6309297535714575
