question,expected_chunk_ids,expected_document_ids,retrieved_top10,rank_of_first_relevant,recall@1,recall@3,recall@5,recall@10,mrr,hit@1,hit@3,hit@5,hit@10
"""Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar""ın təsdiq edilməsi barədə Qərar hansı tarixdə qəbul edilib və qüvvəyə minmə tarixi nədir?",“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_intro_1,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə,"“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_intro_1,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_1_2,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_6_7,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_5_6,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_7_14_part1,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_1_8,“İnvestisiya qiymətli kağızlarının qiymətinin sabitləşdirilməsi haqqında Qaydalar”ın təsdiq edilməsi barədə_intro_1,“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_intro_1,“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_intro_1,“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin nizamnamə kapitalının minimum miqdarı və onun formalaşdırılması haqqında Qaydalar”ın təsdiq edilməsi barədə_intro_1",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Qərarın Hüquqi Aktların Dövlət Reyestrinə daxil edilməsi üçün Ədliyyə Nazirliyinə təqdim edilməsi neçə gün müddətində və hansı şöbə tərəfindən təmin edilməlidir?,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə,"“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3,“İnvestisiya qiymətli kağızlarının qiymətinin sabitləşdirilməsi haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3,“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3,“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3,“İpoteka örtüyünün reyestrinin aparılması və sərəncamçı tərəfindən ipoteka örtüyünün yoxlanılmasının nəticələri barədə hesabata dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3,“Bankların yenidən təşkili haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3,“Kredit ittifaqlarının prudensial tənzimlənməsi Qaydaları”nın təsdiq edilməsi haqqında_art_2_3,dd1aa268-4de2-48ab-8953-c87d3f1c74e3_art_2_3,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_2_3,“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_3_4",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Bu Qərardan irəli gələn məsələlərin həll edilməsi hansı şöbəyə tapşırılıb?,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə,"dd1aa268-4de2-48ab-8953-c87d3f1c74e3_art_3_4,“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4,“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4,“İnvestisiya qiymətli kağızlarının qiymətinin sabitləşdirilməsi haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4,“İpoteka örtüyünün reyestrinin aparılması və sərəncamçı tərəfindən ipoteka örtüyünün yoxlanılmasının nəticələri barədə hesabata dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3,“İnvestisiya qiymətli kağızlarının qiymətinin sabitləşdirilməsi haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3,“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3,“İpoteka örtüyünün reyestrinin aparılması və sərəncamçı tərəfindən ipoteka örtüyünün yoxlanılmasının nəticələri barədə hesabata dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
QKDK-nın aparatının və Naxçıvan Muxtar Respublikası üzrə İdarəsinin bu Qərarla tanış olmasını təmin etmək hansı şöbəyə həvalə edilib?,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə,"“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5,dd1aa268-4de2-48ab-8953-c87d3f1c74e3_art_4_5,“İnvestisiya qiymətli kağızlarının qiymətinin sabitləşdirilməsi haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5,“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5,“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5,“İpoteka örtüyünün reyestrinin aparılması və sərəncamçı tərəfindən ipoteka örtüyünün yoxlanılmasının nəticələri barədə hesabata dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5,“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4,“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4,dd1aa268-4de2-48ab-8953-c87d3f1c74e3_art_3_4,“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"""AML Sanksiya Dəyişiklikləri"" adlı Qərar hansı iki qanunun icrası ilə əlaqədar qəbul edilib və bu Qərarla Nazirlər Kabinetinin hansı əvvəlki qərarı ləğv edilir?",AML Sanksiya Dəyişiklikləri_intro_1,AML Sanksiya Dəyişiklikləri,"Bank Şöbələri və Valyuta Qaydası_art_2_3,AML Sanksiya Dəyişiklikləri_intro_1,Bank Hesabları Qaydası_art_3_107_part6,İnformasiya Sistemlərinin Təhlükəsizliyi Qaydaları_ch_il_12_part2,45937180-250a-4b4a-b8e5-153945adb06d_art_2_3,402 _Azərbaycan Respublikasının Milli Bankı haqqında_ Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə_art_4_5_part1,_Banklar haqqında_ Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə_art_4_5_part4,64b6f05f-196b-4894-9374-9e5c1c4df7a2_art_3_107_part6,AML Sanksiya Dəyişiklikləri_art_4_6,6c51a485-6986-4257-b6e0-25475732f1dc_art_2_3",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Nazirlər Kabinetinin 2015-ci il 21 oktyabr tarixli 336 nömrəli Qərarı ilə təsdiq edilmiş Qaydanın 3.1.4-cü yarımbəndində hansı dəyişiklik edilib?,AML Sanksiya Dəyişiklikləri_art_1_2,AML Sanksiya Dəyişiklikləri,"AML Sanksiya Dəyişiklikləri_art_1_2,AML Sanksiya Dəyişiklikləri_art_2_3,d6a9834a-d9f7-49f3-abff-14cd901c615d_art_6_12_part3,Bank Hesabları Qaydası_art_3_107_part1,f15fd85d-3c4e-4d87-aa78-8367ca166daf_art_7_13_part3,Bank Hesabları Qaydası_art_3_107_part2,Bank Hesabları Qaydası_art_3_107_part6,d6a9834a-d9f7-49f3-abff-14cd901c615d_art_6_12_part2,f15fd85d-3c4e-4d87-aa78-8367ca166daf_art_7_13_part2,402 _Azərbaycan Respublikasının Milli Bankı haqqında_ Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə_art_4_5_part2",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
337 nömrəli Qərarla təsdiq edilmiş Qaydanın 3.1.5-ci yarımbəndinə hansı dəyişikliklər edilib?,AML Sanksiya Dəyişiklikləri_art_2_3,AML Sanksiya Dəyişiklikləri,"AML Sanksiya Dəyişiklikləri_art_2_3,AML Sanksiya Dəyişiklikləri_art_1_2,AML Sanksiya Dəyişiklikləri_art_3_4_part2,d6a9834a-d9f7-49f3-abff-14cd901c615d_art_6_12_part3,4a6fbf3ba5bf66fda98b121c7_art_3_35_part9,Bank Hesabları Qaydası_art_3_107_part6,Bank Hesabları Qaydası_art_3_107_part2,d6a9834a-d9f7-49f3-abff-14cd901c615d_art_6_12_part2,64b6f05f-196b-4894-9374-9e5c1c4df7a2_art_3_107_part2,4a6fbf3ba5bf66fda98b121c7_art_3_35_part10",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"""Kommersiya hüquqi şəxslərin təsisçiləri (iştirakçıları)... barədə məlumatların verilməsi Qaydası""nda ""monitorinq iştirakçıları və monitorinqdə iştirak edən digər şəxslər"" termini nə ilə əvəz edilib və maliyyə institutları ilə qeyri-maliyyə institutları hansı meyarlarla fərqləndirilir?",AML Sanksiya Dəyişiklikləri_art_3_4_part1 | AML Sanksiya Dəyişiklikləri_art_3_4_part2,AML Sanksiya Dəyişiklikləri,"AML Sanksiya Dəyişiklikləri_art_3_4_part1,AML Sanksiya Dəyişiklikləri_art_3_4_part2,Banklar Haqqında Qanun_ch_XI_art_4_185_part2,Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_art_14_22_part2,Məcəllə_art_14_22_part2,“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_1_7,ad29955c-5a37-413c-937e-cd1e5988ae62_art_2_6,802-IIQ-Azərbaycan Respublikasının Mərkəzi Bankı haqqında_ch_IX_art_46_58,590-IIQ-Banklar haqqında_ch_X_art_4_191_part2,Banklar Haqqında Qanun_ch_XI_art_2_142_part2",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"""AML Sanksiya Dəyişiklikləri"" Qərarı hansı tarixdə və hansı nömrə ilə qəbul edilib, kim tərəfindən imzalanıb və hansı köhnə qərar bu sənədin 4-cü bəndi ilə ləğv edilir?",AML Sanksiya Dəyişiklikləri_art_4_6,AML Sanksiya Dəyişiklikləri,"402 _Azərbaycan Respublikasının Milli Bankı haqqında_ Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə_art_4_5_part1,d6a9834a-d9f7-49f3-abff-14cd901c615d_art_6_12_part3,İnformasiya Sistemlərinin Təhlükəsizliyi Qaydaları_ch_il_12_part2,Bank Hesabları Qaydası_art_8_113_part3,Banklarda əməliyyat risklərinin idarə edilməsi Qaydası_art_6_12_part2,Bank Hesabları Qaydası_art_3_107_part6,Nizamnamə kapitalında dövlətə məxsus səhmlər olan bankların və bank olmayan kredit təşkilatlarının idarə edilməsində dövlətin iştirakı qaydası haqqında_art_3_4,_Banklar haqqında_ Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə_art_4_5_part4,64b6f05f-196b-4894-9374-9e5c1c4df7a2_art_3_107_part6,_Banklar haqqında_ Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə_art_4_5_part2",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"""Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında"" Qanun hansı Konstitusiya maddəsinə əsaslanaraq qəbul edilib və hansı münasibətləri tənzimləyir?",Məcəllə_intro_1,Məcəllə,"Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_intro_1,Məcəllə_intro_1,AZƏRBAYCAN RESPUBLİKASININ QANUNU_ch_V_art_18_114,AZƏRBAYCAN RESPUBLİKASININ QANUNU_ch_IV_art_18_86,Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_art_2_6,Məcəllə_art_2_6,AML Sanksiya Dəyişiklikləri_intro_1,Banklar Haqqında Qanun_ch_XI_art_38_175_part2,590-IIQ-Banklar haqqında_ch_IV_art_42_62,802-IIQ-Azərbaycan Respublikasının Mərkəzi Bankı haqqında_ch_IX_art_48_62",2,0.0,1.0,1.0,1.0,0.5,0,1,1,1
