question_idx,question,expected_chunk_ids,retrieved_top10_ids,rrf_scores,semantic_ranks,bm25_ranks
0,"""Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar""ın təsdiq edilməsi barədə Qərar hansı tarixdə qəbul edilib və qüvvəyə minmə tarixi nədir?",“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_intro_1,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_1_2|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_5_6|“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_5_6|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_7_14_part2|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_intro_1|8a4d0220-9312-4ef2-88e8-c65b607a186a_art_3_4|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_6_7|faa09ce5-3d98-48b1-ac48-e81ca3d9d4e7_art_3_4|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_7_14_part1|Azərbaycan Respublikasının Mərkəzi Bankı - Bankların əsas vəsaitlərlə (əmlakla) apardıqları əməliyyatların tənzimlənməsi Qaydaları_art_8_9,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_1_2:0.031746|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_5_6:0.030679|“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_5_6:0.030018|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_7_14_part2:0.016393|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_intro_1:0.016129|8a4d0220-9312-4ef2-88e8-c65b607a186a_art_3_4:0.015625|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_6_7:0.015625|faa09ce5-3d98-48b1-ac48-e81ca3d9d4e7_art_3_4:0.015385|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_7_14_part1:0.015385|Azərbaycan Respublikasının Mərkəzi Bankı - Bankların əsas vəsaitlərlə (əmlakla) apardıqları əməliyyatların tənzimlənməsi Qaydaları_art_8_9:0.015152,3|1|2|||4||5||6,3|10|12|1|2||4||5|
1,Qərarın Hüquqi Aktların Dövlət Reyestrinə daxil edilməsi üçün Ədliyyə Nazirliyinə təqdim edilməsi neçə gün müddətində və hansı şöbə tərəfindən təmin edilməlidir?,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3,“Bankların yenidən təşkili haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3|“Kredit ittifaqlarının prudensial tənzimlənməsi Qaydaları”nın təsdiq edilməsi haqqında_art_2_3|“İnvestisiya qiymətli kağızlarının qiymətinin sabitləşdirilməsi haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3|“İpoteka örtüyünün reyestrinin aparılması və sərəncamçı tərəfindən ipoteka örtüyünün yoxlanılmasının nəticələri barədə hesabata dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3|“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3|Banklarda korporativ idarəetmə Standartları_art_4_5|beaf2f3b-d7c9-4377-8d69-d29758699119_art_2_3|İnformasiya Sistemlərinin Təhlükəsizliyi Qaydaları_art_3_4,“Bankların yenidən təşkili haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3:0.032522|“Kredit ittifaqlarının prudensial tənzimlənməsi Qaydaları”nın təsdiq edilməsi haqqında_art_2_3:0.032522|“İnvestisiya qiymətli kağızlarının qiymətinin sabitləşdirilməsi haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3:0.031010|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3:0.030798|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3:0.030798|“İpoteka örtüyünün reyestrinin aparılması və sərəncamçı tərəfindən ipoteka örtüyünün yoxlanılmasının nəticələri barədə hesabata dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3:0.030777|“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_2_3:0.030536|Banklarda korporativ idarəetmə Standartları_art_4_5:0.027588|beaf2f3b-d7c9-4377-8d69-d29758699119_art_2_3:0.026876|İnformasiya Sistemlərinin Təhlükəsizliyi Qaydaları_art_3_4:0.025658,2|1|5|3|7|4|6|12|17|16,1|2|4|7|3|6|5|13|12|20
2,Bu Qərardan irəli gələn məsələlərin həll edilməsi hansı şöbəyə tapşırılıb?,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4|dd1aa268-4de2-48ab-8953-c87d3f1c74e3_art_3_4|“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4|“İnvestisiya qiymətli kağızlarının qiymətinin sabitləşdirilməsi haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4|“İpoteka örtüyünün reyestrinin aparılması və sərəncamçı tərəfindən ipoteka örtüyünün yoxlanılmasının nəticələri barədə hesabata dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4|“Ödəmə qabiliyyətini itirmiş bankların rezolyusiyası və sağlamlaşdırma tədbirləri çərçivəsində qeyri-işlək (toksik) aktivlərin təqdim edilməsi Qaydası”nın təsdiq edilməsi haqqında_art_3_4|Azərbaycan Respublikası Prezidentinin 1999-cu il 14 may tarixli 130 nömrəli Fərmanı ilə təsdiq edilmiş «Azərbaycan Respublikasının fəxri adları haqqında Əsasnamə»də dəyişikliklər edilməsi barədə_art_11_12|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5|Əməliyyat Risklərinin İdarə Edilməsi Qaydası_art_25_44,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4:0.032787|dd1aa268-4de2-48ab-8953-c87d3f1c74e3_art_3_4:0.032258|“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4:0.031498|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4:0.031498|“İnvestisiya qiymətli kağızlarının qiymətinin sabitləşdirilməsi haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4:0.030536|“İpoteka örtüyünün reyestrinin aparılması və sərəncamçı tərəfindən ipoteka örtüyünün yoxlanılmasının nəticələri barədə hesabata dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4:0.030536|“Ödəmə qabiliyyətini itirmiş bankların rezolyusiyası və sağlamlaşdırma tədbirləri çərçivəsində qeyri-işlək (toksik) aktivlərin təqdim edilməsi Qaydası”nın təsdiq edilməsi haqqında_art_3_4:0.029851|Azərbaycan Respublikası Prezidentinin 1999-cu il 14 may tarixli 130 nömrəli Fərmanı ilə təsdiq edilmiş «Azərbaycan Respublikasının fəxri adları haqqında Əsasnamə»də dəyişikliklər edilməsi barədə_art_11_12:0.028986|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5:0.025000|Əməliyyat Risklərinin İdarə Edilməsi Qaydası_art_25_44:0.014706,1|2|4|3|6|5|7|9|20|8,1|2|3|4|5|6|7|9|20|
3,QKDK-nın aparatının və Naxçıvan Muxtar Respublikası üzrə İdarəsinin bu Qərarla tanış olmasını təmin etmək hansı şöbəyə həvalə edilib?,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5,dd1aa268-4de2-48ab-8953-c87d3f1c74e3_art_4_5|“İnvestisiya qiymətli kağızlarının qiymətinin sabitləşdirilməsi haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5|“İpoteka örtüyünün reyestrinin aparılması və sərəncamçı tərəfindən ipoteka örtüyünün yoxlanılmasının nəticələri barədə hesabata dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5|“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin nizamnamə kapitalının minimum miqdarı və onun formalaşdırılması haqqında Qaydalar”ın təsdiq edilməsi barədə_intro_1|“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_162_185|“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4,dd1aa268-4de2-48ab-8953-c87d3f1c74e3_art_4_5:0.031754|“İnvestisiya qiymətli kağızlarının qiymətinin sabitləşdirilməsi haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5:0.031746|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5:0.031545|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5:0.031545|“İpoteka örtüyünün reyestrinin aparılması və sərəncamçı tərəfindən ipoteka örtüyünün yoxlanılmasının nəticələri barədə hesabata dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5:0.031514|“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_4_5:0.031010|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin kənar auditorlarına dair tələblər haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4:0.014925|“Qiymətli kağızlar bazarında lisenziyalaşdırılan şəxslərin nizamnamə kapitalının minimum miqdarı və onun formalaşdırılması haqqında Qaydalar”ın təsdiq edilməsi barədə_intro_1:0.014925|“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_162_185:0.014706|“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_3_4:0.014706,4|3|1|6|2|5|7|||8,2|3|6|1|5|4||7|8|
4,"""AML Sanksiya Dəyişiklikləri"" adlı Qərar hansı iki qanunun icrası ilə əlaqədar qəbul edilib və bu Qərarla Nazirlər Kabinetinin hansı əvvəlki qərarı ləğv edilir?",AML Sanksiya Dəyişiklikləri_intro_1,AML Sanksiya Dəyişiklikləri_intro_1|AZƏRBAYCAN RESPUBLİKASININ QANUNU_ch_V_art_2_96|Banklar Haqqında Qanun_ch_X_art_62_102|Əmanətlərin sığortalanması haqqında_ch_II_art_24_28|590-IIQ-Banklar haqqında_ch_X_art_62_107|Valyuta tənzimi haqqında_art_3_120|“Azərbaycan Respublikası Mərkəzi Bankının normativ xarakterli aktlarının hazırlanması və qəbul edilməsi Qaydası”nın təsdiq edilməsi barədə_art_2_3|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_5_6|_Banklar haqqında_ Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə_intro_1|“Azərbaycan Respublikası Mərkəzi Bankının normativ xarakterli aktlarının hazırlanması və qəbul edilməsi Qaydası”nın təsdiq edilməsi barədə_art_4_7,AML Sanksiya Dəyişiklikləri_intro_1:0.016393|AZƏRBAYCAN RESPUBLİKASININ QANUNU_ch_V_art_2_96:0.016393|Banklar Haqqında Qanun_ch_X_art_62_102:0.016129|Əmanətlərin sığortalanması haqqında_ch_II_art_24_28:0.016129|590-IIQ-Banklar haqqında_ch_X_art_62_107:0.015873|Valyuta tənzimi haqqında_art_3_120:0.015873|“Azərbaycan Respublikası Mərkəzi Bankının normativ xarakterli aktlarının hazırlanması və qəbul edilməsi Qaydası”nın təsdiq edilməsi barədə_art_2_3:0.015625|“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_5_6:0.015625|_Banklar haqqında_ Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə_intro_1:0.015385|“Azərbaycan Respublikası Mərkəzi Bankının normativ xarakterli aktlarının hazırlanması və qəbul edilməsi Qaydası”nın təsdiq edilməsi barədə_art_4_7:0.015385,|1||2||3||4|5|,1||2||3||4|||5
5,Nazirlər Kabinetinin 2015-ci il 21 oktyabr tarixli 336 nömrəli Qərarı ilə təsdiq edilmiş Qaydanın 3.1.4-cü yarımbəndində hansı dəyişiklik edilib?,AML Sanksiya Dəyişiklikləri_art_1_2,5b725bb224d33e2085294c793_intro_1|AML Sanksiya Dəyişiklikləri_art_1_2|AML Sanksiya Dəyişiklikləri_art_2_3|“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_36_289|Azərbaycan Respublikasının 1999-cu il 22 iyun tarixli 689-IQ nömrəli Qanunu ilə təsdiq edilmiş «Ədalət mühakiməsinin rəsmi embleminin təsviri»ndə dəyişiklik edilməsi barədə_intro_1|“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_32_44|AML Sanksiya Dəyişiklikləri_intro_1|“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_5_6|“Azərbaycan Respublikası Mərkəzi Bankının normativ xarakterli aktlarının hazırlanması və qəbul edilməsi Qaydası”nın təsdiq edilməsi barədə_art_4_7|“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_13_156,5b725bb224d33e2085294c793_intro_1:0.016393|AML Sanksiya Dəyişiklikləri_art_1_2:0.016393|AML Sanksiya Dəyişiklikləri_art_2_3:0.016129|“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_36_289:0.016129|Azərbaycan Respublikasının 1999-cu il 22 iyun tarixli 689-IQ nömrəli Qanunu ilə təsdiq edilmiş «Ədalət mühakiməsinin rəsmi embleminin təsviri»ndə dəyişiklik edilməsi barədə_intro_1:0.015873|“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_32_44:0.015873|AML Sanksiya Dəyişiklikləri_intro_1:0.015625|“İnvestisiya şirkətinin davamlı kapital tələbləri haqqında Qaydalar”ın təsdiq edilməsi barədə_art_5_6:0.015625|“Azərbaycan Respublikası Mərkəzi Bankının normativ xarakterli aktlarının hazırlanması və qəbul edilməsi Qaydası”nın təsdiq edilməsi barədə_art_4_7:0.015385|“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_13_156:0.015385,1|||2||3||4||5,|1|2||3||4||5|
6,337 nömrəli Qərarla təsdiq edilmiş Qaydanın 3.1.5-ci yarımbəndinə hansı dəyişikliklər edilib?,AML Sanksiya Dəyişiklikləri_art_2_3,AML Sanksiya Dəyişiklikləri_art_2_3|“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_50_67|beaf2f3b-d7c9-4377-8d69-d29758699119_art_4_7|“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_36_289|4a6fbf3ba5bf66fda98b121c7_art_8_18_part3|“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_10_24|1dfb892e-6204-4404-9166-c861f06996fa_art_5_9_part1|“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_223_251|4a6fbf3ba5bf66fda98b121c7_art_2_3|“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_58_75,AML Sanksiya Dəyişiklikləri_art_2_3:0.016393|“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_50_67:0.016393|beaf2f3b-d7c9-4377-8d69-d29758699119_art_4_7:0.016129|“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_36_289:0.016129|4a6fbf3ba5bf66fda98b121c7_art_8_18_part3:0.015873|“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_10_24:0.015873|1dfb892e-6204-4404-9166-c861f06996fa_art_5_9_part1:0.015625|“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_223_251:0.015625|4a6fbf3ba5bf66fda98b121c7_art_2_3:0.015385|“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_58_75:0.015385,|1||2||3||4||5,1||2||3||4||5|
7,"""Kommersiya hüquqi şəxslərin təsisçiləri (iştirakçıları)... barədə məlumatların verilməsi Qaydası""nda ""monitorinq iştirakçıları və monitorinqdə iştirak edən digər şəxslər"" termini nə ilə əvəz edilib və maliyyə institutları ilə qeyri-maliyyə institutları hansı meyarlarla fərqləndirilir?",AML Sanksiya Dəyişiklikləri_art_3_4_part1|AML Sanksiya Dəyişiklikləri_art_3_4_part2,AML Sanksiya Dəyişiklikləri_art_3_4_part1|“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_115_368|AML Sanksiya Dəyişiklikləri_art_3_4_part2|Valyuta tənzimi haqqında_art_2_111|9018b71b0859bc7a490ea0f22_art_11_71|Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_art_3_7|9018b71b0859bc7a490ea0f22_art_2_39|Məcəllə_art_3_7|Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_art_14_22_part2|“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_113_366,AML Sanksiya Dəyişiklikləri_art_3_4_part1:0.016393|“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_115_368:0.016393|AML Sanksiya Dəyişiklikləri_art_3_4_part2:0.016129|Valyuta tənzimi haqqında_art_2_111:0.016129|9018b71b0859bc7a490ea0f22_art_11_71:0.015873|Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_art_3_7:0.015873|9018b71b0859bc7a490ea0f22_art_2_39:0.015625|Məcəllə_art_3_7:0.015625|Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_art_14_22_part2:0.015385|“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_113_366:0.015385,|1||2|3||4|||5,1||2|||3||4|5|
8,"""AML Sanksiya Dəyişiklikləri"" Qərarı hansı tarixdə və hansı nömrə ilə qəbul edilib, kim tərəfindən imzalanıb və hansı köhnə qərar bu sənədin 4-cü bəndi ilə ləğv edilir?",AML Sanksiya Dəyişiklikləri_art_4_6,Banklar Haqqında Qanun_ch_X_art_62_102|“Dövlət qeydiyyatına alınmışdır”_art_4_5|590-IIQ-Banklar haqqında_ch_X_art_62_107|Əmanətlərin sığortalanması haqqında_ch_II_art_24_28|096312ee-c41c-4c1f-9edd-baf5f3187758_art_4_10|Banklar Haqqında Qanun_ch_VIII_art_57_91_part3|590-IIQ-Banklar haqqında_ch_VIII_art_57_96_part3|“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_249_277|5b725bb224d33e2085294c793_art_5_22|Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_art_6_13,Banklar Haqqında Qanun_ch_X_art_62_102:0.016393|“Dövlət qeydiyyatına alınmışdır”_art_4_5:0.016393|590-IIQ-Banklar haqqında_ch_X_art_62_107:0.016129|Əmanətlərin sığortalanması haqqında_ch_II_art_24_28:0.016129|096312ee-c41c-4c1f-9edd-baf5f3187758_art_4_10:0.015873|Banklar Haqqında Qanun_ch_VIII_art_57_91_part3:0.015873|590-IIQ-Banklar haqqında_ch_VIII_art_57_96_part3:0.015625|“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_249_277:0.015625|5b725bb224d33e2085294c793_art_5_22:0.015385|Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_art_6_13:0.015385,|1||2|3|||4|5|,1||2|||3|4|||5
9,"""Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında"" Qanun hansı Konstitusiya maddəsinə əsaslanaraq qəbul edilib və hansı münasibətləri tənzimləyir?",Məcəllə_intro_1,096312ee-c41c-4c1f-9edd-baf5f3187758_art_9_56|Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_intro_1|AZƏRBAYCAN RESPUBLİKASININ QANUNU_intro_1|Məcəllə_intro_1|802-IIQ-Azərbaycan Respublikasının Mərkəzi Bankı haqqında_ch_IX_art_48_62|Əmanətlərin sığortalanması haqqında_ch_II_art_24_28|AZƏRBAYCAN RESPUBLİKASININ QANUNU_ch_IV_art_18_86|ba0d73daa9275fa1fe1e4694b_art_4_62|_Banklar haqqında_ Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə_intro_1|“Azərbaycan Respublikası Mərkəzi Bankının normativ xarakterli aktlarının hazırlanması və qəbul edilməsi Qaydası”nın təsdiq edilməsi barədə_art_2_5,096312ee-c41c-4c1f-9edd-baf5f3187758_art_9_56:0.016393|Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_intro_1:0.016393|AZƏRBAYCAN RESPUBLİKASININ QANUNU_intro_1:0.016129|Məcəllə_intro_1:0.016129|802-IIQ-Azərbaycan Respublikasının Mərkəzi Bankı haqqında_ch_IX_art_48_62:0.015873|Əmanətlərin sığortalanması haqqında_ch_II_art_24_28:0.015873|AZƏRBAYCAN RESPUBLİKASININ QANUNU_ch_IV_art_18_86:0.015625|ba0d73daa9275fa1fe1e4694b_art_4_62:0.015625|_Banklar haqqında_ Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə_intro_1:0.015385|“Azərbaycan Respublikası Mərkəzi Bankının normativ xarakterli aktlarının hazırlanması və qəbul edilməsi Qaydası”nın təsdiq edilməsi barədə_art_2_5:0.015385,1||2|||3||4|5|,|1||2|3||4|||5
